Date,M3,M3 (Excluding Merger),1.1 Currency with the Public,1.2 Demand Deposits with Banks,1.3 Time Deposits with Banks,1.3 Time Deposits with Banks (Excluding Merger),1.4 ‘Other’ Deposits with Reserve Bank,2.1 Net Bank Credit to Government,2.1 Net Bank Credit to Government (Excluding Merger),2.1.1 Reserve Bank,2.1.2 Other Banks,2.1.2 Other Banks (Excluding Merger),2.2 Bank Credit to Commercial Sector,2.2 Bank Credit to Commercial Sector (Excluding Merger),2.2.1 Reserve Bank,2.2.2 Other Banks,2.2.2 Other Banks (Excluding Merger),2.3 Net Foreign Exchange Assets of Banking Sector,2.4 Government's Currency Liabilities to the Public,2.5 Banking Sectors Net Non-Monetary Liabilities,2.5 Banking Sectors Net Non-Monetary Liabilities (Excluding Merger),2.5.1 Net Non-Monetary Liabilities of RBI,
27-Dec-13,"92,22,992",,"12,13,664","7,73,535","72,33,307",,"2,487","29,61,613",,"6,26,493","23,35,119",,"61,85,876",,"7,339","61,78,538",,"18,98,889","16,853","18,40,203",,"8,81,504",
13-Dec-13,"92,47,898",,"12,27,211","7,73,277","72,45,137",,"2,274","30,30,093",,"6,76,152","23,53,940",,"61,23,890",,"5,444","61,18,445",,"18,93,972","16,743","18,16,763",,"8,76,472",
29-Nov-13,"91,82,557",,"12,07,835","7,47,895","72,18,885",,"7,943","30,01,933",,"6,58,386","23,43,548",,"60,83,747",,"3,887","60,79,861",,"18,72,877","16,743","17,92,708",,"8,83,643",
15-Nov-13,"91,09,172",,"12,28,232","7,33,912","71,43,040",,"3,987","30,30,403",,"7,07,688","23,22,715",,"60,70,196",,"3,820","60,66,375",,"18,41,214","16,556","18,49,159",,"9,01,780",
01-Nov-13,"91,15,862",,"12,00,964","7,55,085","71,55,450",,"4,363","30,19,729",,"7,08,809","23,10,921",,"60,79,085",,"3,820","60,75,265",,"17,97,214","16,556","17,96,687",,"8,65,392",
18-Oct-13,"90,04,838",,"11,88,622","7,37,092","70,75,394",,"3,730","29,97,333",,"6,97,167","23,00,166",,"60,35,726",,"3,813","60,31,913",,"17,81,894","16,556","18,26,636",,"8,70,520",
04-Oct-13,"90,07,882",,"11,59,488","7,59,562","70,85,047",,"3,785","29,62,947",,"6,63,710","22,99,236",,"60,83,794",,"3,771","60,80,023",,"17,64,464","16,385","18,19,673",,"8,56,977",
20-Sep-13,"88,33,081",,"11,66,419","7,39,961","69,22,572",,"4,128","29,16,855",,"6,79,813","22,37,042",,"60,35,347",,"3,780","60,31,568",,"17,93,318","16,385","19,28,788",,"8,85,532",
06-Sep-13,"88,21,878",,"11,64,266","7,35,759","69,17,332",,"4,521","29,51,160",,"6,85,638","22,65,522",,"60,29,347",,"3,780","60,25,567",,"17,99,252","16,228","19,74,067",,"9,54,721",
23-Aug-13,"87,61,910",,"11,63,217","7,34,978","68,58,285",,"5,430","29,33,157",,"6,57,706","22,75,451",,"59,45,933",,"3,827","59,42,106",,"17,74,096","16,228","19,07,464",,"9,16,270",
09-Aug-13,"87,54,938",,"11,71,437","7,26,538","68,54,573",,"2,391","29,17,414",,"6,54,906","22,62,507",,"59,18,313",,"3,605","59,14,708",,"16,89,549","16,039","17,86,343",,"8,22,016",
26-Jul-13,"87,32,972",,"11,57,940","7,47,424","68,25,425",,"2,184","29,69,127",,"6,70,096","22,99,031",,"58,24,211",,"3,510","58,20,702",,"16,40,020","16,039","17,16,398",,"8,02,665",
12-Jul-13,"87,46,105",,"11,79,175","7,37,123","68,23,387",,"6,419","29,62,823",,"6,85,712","22,77,111",,"58,08,779",,"1,455","58,07,324",,"16,65,396","15,886","17,06,751",,"8,11,641",
28-Jun-13,"87,40,571",,"11,66,513","8,02,528","67,69,130",,"2,399","29,28,273",,"6,78,459","22,49,814",,"58,26,224",,"2,124","58,24,100",,"16,79,495","15,886","17,09,279",,"8,11,315",
14-Jun-13,"86,28,264",,"11,92,599","7,27,745","67,05,858",,"2,062","29,17,494",,"6,88,299","22,29,196",,"57,65,139",,"2,126","57,63,013",,"17,21,151","15,718","17,91,214",,"7,84,353",
31-May-13,"86,27,679",,"11,76,361","7,42,471","67,04,489",,"4,357","28,43,660",,"6,45,613","21,98,047",,"57,87,242",,"2,408","57,84,834",,"16,73,573","15,718","16,92,494",,"7,34,906",
17-May-13,"85,50,416",,"11,96,488","7,12,575","66,39,346",,"2,007","28,30,293",,"6,73,962","21,56,331",,"57,31,182",,"1,988","57,29,194",,"16,49,062","15,497","16,75,602",,"7,00,444",
03-May-13,"85,47,142",,"11,80,611","7,32,233","66,32,196",,"2,102","27,87,630",,"6,26,768","21,60,863",,"57,40,648",,"1,475","57,39,173",,"16,36,681","15,497","16,33,301",,"6,91,802",
19-Apr-13,"85,02,903",,"11,80,151","7,19,359","66,01,327",,"2,065","27,74,366",,"6,44,005","21,30,361",,"56,92,321",,"2,121","56,90,201",,"16,41,809","15,497","16,21,076",,"6,88,896",
05-Apr-13,"85,37,198",,"11,52,668","7,50,724","66,30,833",,"2,973","27,01,669",,"5,57,819","21,43,850",,"57,58,616",,"2,168","57,56,448",,"16,59,284","15,340","15,97,695",,"7,08,593",
31-Mar-13,"83,89,819",,"11,41,061","7,53,225","64,92,293",,"3,240","27,09,011",,"5,90,578","21,18,434",,"56,67,867",,"3,058","56,64,809",,"16,36,674","15,340","16,39,058",,"6,92,518",
22-Mar-13,"83,76,917",,"11,41,312","7,46,497","64,87,600",,"1,508","27,03,825",,"5,85,421","21,18,404",,"56,71,187",,"2,844","56,68,343",,"16,39,994","15,340","16,53,414",,"6,97,699",
08-Mar-13,"82,76,447",,"11,35,774","7,00,786","64,38,440",,"1,446","26,94,484",,"5,79,571","21,14,914",,"55,82,973",,"2,065","55,80,908",,"15,87,769","15,131","16,03,895",,"6,85,095",
22-Feb-13,"81,74,083",,"11,25,750","7,15,010","63,31,815",,"1,508","26,69,465",,"5,93,080","20,76,385",,"55,29,806",,"1,928","55,27,878",,"15,94,477","15,131","16,34,780",,"6,95,839",
08-Feb-13,"81,77,734",,"11,24,125","6,94,502","63,57,580",,"1,527","26,84,872",,"5,75,938","21,08,934",,"54,98,722",,"1,928","54,96,793",,"15,85,934","14,992","16,06,769",,"6,82,931",
25-Jan-13,"81,15,795",,"11,08,939","6,93,613","63,11,742",,"1,500","26,61,717",,"5,85,123","20,76,594",,"54,49,773",,"3,060","54,46,713",,"16,03,776","14,992","16,14,447",,"7,01,289",
11-Jan-13,"81,10,871",,"11,09,427","6,85,974","63,14,068",,"1,402","26,54,398",,"5,67,815","20,86,583",,"54,34,180",,"4,144","54,30,036",,"16,24,916","14,845","16,17,449",,"7,20,326",
28-Dec-12,"80,33,662",,"10,91,432","7,19,942","62,20,787",,"1,500","25,97,759",,"5,50,467","20,47,292",,"54,17,282",,"3,730","54,13,552",,"16,34,085","14,845","16,30,290",,"7,28,576",
14-Dec-12,"80,00,820",,"11,03,357","6,94,370","62,00,606",,"2,488","26,60,775",,"5,97,243","20,63,532",,"53,50,102",,"4,355","53,45,748",,"16,27,038","14,723","16,51,799",,"7,17,881",
30-Nov-12,"79,93,152",,"10,87,304","7,05,111","61,98,361",,"2,375","26,11,761",,"5,35,840","20,75,921",,"53,48,728",,"5,454","53,43,275",,"16,19,190","14,723","16,01,231",,"7,11,195",
16-Nov-12,"79,77,664",,"11,07,731","6,77,964","61,90,625",,"1,345","26,47,774",,"5,77,798","20,69,976",,"52,78,880",,"4,178","52,74,703",,"16,25,000","14,524","15,88,496",,"7,15,374",
02-Nov-12,"79,61,916",,"10,64,861","6,76,445","62,18,875",,"1,735","26,18,043",,"5,19,926","20,98,117",,"52,44,225",,"2,749","52,41,476",,"15,94,688","14,524","15,09,547",,"6,76,022",
19-Oct-12,"79,16,508",,"10,65,304","6,66,892","61,82,710",,"1,602","26,36,131",,"5,55,194","20,80,937",,"51,97,393",,"2,171","51,95,223",,"15,96,700","14,524","15,28,223",,"6,77,483",
05-Oct-12,"79,28,504",,"10,54,321","6,93,182","61,79,169",,"1,832","25,84,698",,"4,83,277","21,01,421",,"51,95,266",,"2,313","51,92,953",,"15,40,837","14,371","14,06,655",,"6,13,481",
21-Sep-12,"78,16,592",,"10,63,711","6,81,493","60,69,721",,"1,666","25,90,069",,"5,36,204","20,53,865",,"51,45,299",,"3,616","51,41,683",,"16,03,090","14,371","15,36,219",,"6,80,194",
07-Sep-12,"78,49,805",,"10,65,575","6,71,354","61,11,405",,"1,472","26,28,070",,"5,42,601","20,85,469",,"51,29,411",,"3,857","51,25,554",,"16,40,550","14,216","15,62,422",,"7,06,716",
24-Aug-12,"78,17,842",,"10,65,786","6,89,093","60,60,976",,"1,987","26,02,277",,"5,39,926","20,62,351",,"51,02,535",,"4,445","50,98,090",,"16,26,907","14,216","15,28,074",,"6,91,571",
10-Aug-12,"78,18,561",,"10,70,462","6,69,597","60,75,941",,"2,562","25,86,967",,"5,50,007","20,36,959",,"51,03,713",,"5,017","50,98,696",,"16,20,599","14,052","15,06,750",,"6,86,948",
27-Jul-12,"77,66,667",,"10,58,371","6,78,857","60,26,863",,"2,576","25,71,114",,"5,47,147","20,23,966",,"50,82,843",,"4,767","50,78,076",,"16,21,023","14,052","15,22,346",,"7,00,564",
13-Jul-12,"77,61,967",,"10,77,748","6,68,547","60,11,771",,"3,902","25,63,880",,"5,59,404","20,04,476",,"51,00,977",,"5,019","50,95,957",,"16,17,119","13,904","15,33,894",,"6,95,195",
29-Jun-12,"77,56,228",,"10,69,716","7,36,346","59,48,268",,"1,899","25,36,531",,"5,67,561","19,68,970",,"51,36,320",,"4,190","51,32,130",,"16,46,711","13,904","15,77,216",,"7,25,584",
15-Jun-12,"76,59,672",,"10,90,387","6,73,434","58,94,384",,"1,467","25,25,323",,"5,74,875","19,50,447",,"50,82,621",,"5,547","50,77,074",,"16,50,092","13,714","16,12,057",,"7,06,985",
01-Jun-12,"76,67,263",,"10,74,165","6,79,919","59,11,678",,"1,501","24,90,767",,"5,38,958","19,51,809",,"50,83,687",,"5,597","50,78,089",,"16,35,002","13,714","15,55,887",,"6,89,857",
18-May-12,"75,95,227",,"10,82,262","6,66,817","58,44,724",,"1,423","24,83,499",,"5,54,877","19,28,622",,"50,16,695",,"3,791","50,12,904",,"16,20,648","13,714","15,39,310",,"6,75,750",
04-May-12,"75,66,701",,"10,70,173","6,83,973","58,10,766",,"1,790","24,66,460",,"5,24,702","19,41,758",,"49,98,560",,"3,789","49,94,771",,"16,07,359","13,570","15,19,229",,"6,58,740",
20-Apr-12,"75,31,732",,"10,64,855","6,82,009","57,83,309",,"1,559","24,66,513",,"5,49,393","19,17,120",,"49,71,672",,"3,499","49,68,173",,"15,66,467","13,570","14,86,475",,"6,19,277",
06-Apr-12,"75,68,665",,"10,34,643","7,34,343","57,97,037",,"2,641","23,93,697",,"4,84,980","19,08,717",,"50,42,475",,"3,760","50,38,715",,"15,33,682","13,444","14,14,621",,"5,82,448",
31-Mar-12,"73,84,831",,"10,23,670","7,10,902","56,47,437",,"2,822","23,73,731",,"5,35,738","18,37,993",,"49,92,338",,"3,960","49,88,378",,"15,43,792","13,444","15,38,462",,"6,03,853",
23-Mar-12,"73,61,735",,"10,30,396","7,05,008","56,24,769",,"1,562","23,52,819",,"5,17,103","18,35,716",,"49,61,475",,"3,967","49,57,508",,"15,34,382","13,444","15,00,374",,"5,91,737",
09-Mar-12,"73,38,934",,"10,31,382","6,78,176","56,27,320",,"2,056","23,70,081",,"5,05,205","18,64,875",,"48,36,554",,"3,944","48,32,610",,"14,85,276","13,276","13,66,243",,"5,57,553",
24-Feb-12,"72,53,052",,"10,14,650","6,75,839","55,61,471",,"1,092","23,31,451",,"4,88,369","18,43,082",,"47,55,212",,"3,427","47,51,784",,"14,67,334","13,276","13,14,213",,"5,37,546",
10-Feb-12,"72,37,631",,"10,15,348","6,71,761","55,48,372",,"2,150","23,24,084",,"4,99,265","18,24,820",,"47,26,367",,"3,380","47,22,987",,"14,74,025","13,156","12,99,993",,"5,40,392",
27-Jan-12,"71,84,830",,"9,95,424","6,73,955","55,12,791",,"2,660","23,06,791",,"5,18,397","17,88,394",,"46,96,021",,"3,257","46,92,764",,"14,86,649","13,156","13,17,778",,"5,49,641",
13-Jan-12,"71,84,750",,"9,99,649","6,75,644","55,07,379",,"2,078","22,73,004",,"4,93,355","17,79,650",,"46,73,810",,"3,162","46,70,648",,"15,26,238","13,042","13,01,333",,"5,69,785",
30-Dec-11,"72,21,342",,"9,76,610","7,18,978","55,23,527",,"2,227","22,40,946",,"4,50,060","17,90,886",,"47,04,756",,"3,266","47,01,490",,"15,95,945","13,042","13,33,332",,"6,23,319",
16-Dec-11,"70,70,805",,"9,88,196","6,38,711","54,42,733",,"1,166","22,12,862",,"4,38,037","17,74,825",,"45,95,549",,"1,998","45,93,551",,"16,04,253","12,886","13,54,729",,"6,12,608",
02-Dec-11,"70,92,380",,"9,72,077","6,49,440","54,68,214",,"2,649","22,46,602",,"4,07,242","18,39,359",,"45,63,019",,"1,737","45,61,282",,"15,89,490","12,886","13,19,603",,"5,81,495",
18-Nov-11,"70,33,534",,"9,77,048","6,37,035","54,18,291",,"1,159","22,23,555",,"4,16,903","18,06,652",,"45,14,980",,"1,908","45,13,072",,"15,89,453","12,886","13,07,326",,"5,77,466",
04-Nov-11,"70,35,458",,"9,67,115","6,44,290","54,22,763",,"1,290","22,08,273",,"3,80,178","18,28,095",,"45,12,022",,"1,323","45,10,699",,"15,56,480","12,784","12,54,091",,"5,30,817",
21-Oct-11,"69,84,620",,"9,52,028","6,46,376","53,85,074",,"1,142","21,95,416",,"3,94,737","18,00,679",,"44,82,070",,"1,878","44,80,192",,"16,02,821","12,784","13,08,460",,"5,78,573",
07-Oct-11,"69,82,384",,"9,49,314","6,56,880","53,73,851",,"2,339","21,71,506",,"3,42,125","18,29,381",,"44,72,293",,"1,323","44,70,970",,"15,46,772","12,481","12,20,660",,"5,18,865",
23-Sep-11,"68,78,779",,"9,41,199","6,39,298","52,95,968",,"2,314","21,52,294",,"3,56,660","17,95,634",,"44,16,705",,"1,783","44,14,922",,"15,53,848","12,481","12,56,538",,"5,26,698",
09-Sep-11,"68,76,473",,"9,51,365","6,27,907","52,94,669",,"2,531","21,80,575",,"3,77,149","18,03,427",,"43,92,905",,"1,472","43,91,432",,"14,74,792","12,478","11,84,274",,"4,50,555",
26-Aug-11,"68,52,131",,"9,42,410","6,39,149","52,67,807",,"2,766","21,62,228",,"3,68,132","17,94,097",,"43,64,475",,"1,839","43,62,636",,"14,72,438","12,478","11,59,483",,"4,47,169",
12-Aug-11,"68,36,414",,"9,50,405","6,24,600","52,60,321",,"1,088","21,47,254",,"3,70,087","17,77,167",,"43,62,045",,"1,711","43,60,334",,"14,41,490","12,362","11,26,735",,"4,17,130",
29-Jul-11,"68,15,040",,"9,34,912","6,45,374","52,33,376",,"1,378","21,46,602",,"3,72,134","17,74,468",,"43,25,184",,"1,799","43,23,385",,"14,18,142","12,362","10,87,251",,"4,08,841",
15-Jul-11,"67,62,899",,"9,51,754","6,24,166","51,85,788",,"1,190","21,37,139",,"3,75,423","17,61,716",,"43,22,829",,"1,407","43,21,422",,"14,09,925","12,246","11,19,240",,"4,00,454",
01-Jul-11,"68,24,542",,"9,41,072","6,83,518","51,97,027",,"2,926","20,98,275",,"4,04,247","16,94,028",,"43,97,509",,"2,095","43,95,413",,"14,20,477","12,246","11,03,965",,"4,13,896",
17-Jun-11,"66,96,607",,"9,61,449","6,28,984","51,04,239",,"1,934","20,71,899",,"3,76,109","16,95,789",,"43,09,392",,"2,098","43,07,294",,"14,04,166","12,246","11,01,095",,"3,98,085",
03-Jun-11,"67,10,621",,"9,58,198","6,37,686","51,10,934",,"3,803","20,75,440",,"3,72,396","17,03,043",,"42,88,635",,"1,690","42,86,944",,"14,35,600","12,960","11,02,011",,"4,02,685",
20-May-11,"66,71,495",,"9,61,414","6,42,090","50,65,014",,"2,977","20,51,939",,"3,80,487","16,71,452",,"42,61,996",,"1,595","42,60,400",,"14,16,946","12,960","10,72,345",,"3,87,864",
06-May-11,"66,56,300",,"9,58,084","6,52,242","50,43,032",,"2,942","20,24,436",,"3,67,235","16,57,201",,"42,56,284",,"1,595","42,54,689",,"14,16,907","12,834","10,54,159",,"3,87,123",
22-Apr-11,"66,49,404",,"9,46,884","6,63,455","50,35,760",,"3,305","20,06,913",,"3,65,280","16,41,632",,"42,20,853",,"1,325","42,19,528",,"14,04,951","12,834","9,96,146",,"3,74,565",
08-Apr-11,"66,39,585",,"9,31,857","6,61,493","50,44,469",,"1,765","19,36,112",,"2,78,111","16,58,001",,"42,47,125",,"1,325","42,45,800",,"13,91,351","12,724","9,47,728",,"3,56,622",
31-Mar-11,"65,04,116",,"9,11,836","7,22,856","48,65,771",,"3,653","19,83,896",,"3,96,555","15,87,341",,"42,36,676",,"2,164","42,34,512",,"13,93,343","12,724","11,22,523",,"3,68,350",
25-Mar-11,"65,03,680",,"9,19,363","7,17,920","48,62,912",,"3,485","19,03,690",,"3,16,389","15,87,301",,"42,36,237",,"1,760","42,34,477",,"13,87,973","12,724","10,36,944",,"3,62,921",
11-Mar-11,"64,40,360",,"9,21,246","6,75,137","48,39,521",,"4,456","18,95,887",,"3,13,073","15,82,815",,"41,49,935",,"1,570","41,48,365",,"13,79,248","12,586","9,97,296",,"3,71,035",
25-Feb-11,"63,66,714",,"9,05,351","6,78,840","47,78,941",,"3,582","18,72,957",,"3,00,211","15,72,746",,"41,03,831",,"1,570","41,02,260",,"13,80,477","12,586","10,03,137",,"3,71,542",
11-Feb-11,"63,23,961",,"9,07,712","6,49,303","47,63,860",,"3,086","18,56,651",,"2,99,431","15,57,219",,"40,73,172",,"1,570","40,71,601",,"13,81,700","12,479","10,00,040",,"3,73,482",
28-Jan-11,"62,55,984",,"8,88,153","6,65,024","46,89,478",,"13,330","18,37,844",,"2,69,302","15,68,543",,"40,21,023",,"1,325","40,19,698",,"13,80,716","12,479","9,96,078",,"3,73,738",
14-Jan-11,"62,08,936",,"8,91,733","6,44,123","46,70,171",,"2,909","18,25,876",,"2,79,284","15,46,592",,"40,04,347",,"1,379","40,02,968",,"13,62,448","12,373","9,96,108",,"3,54,931",
31-Dec-10,"62,25,181",,"8,68,666","7,19,536","46,33,407",,"3,571","17,97,093",,"2,63,952","15,33,141",,"40,48,929",,"1,626","40,47,303",,"13,49,079","12,373","9,82,294",,"3,43,095",
17-Dec-10,"60,51,303",,"8,78,480","6,51,183","45,18,297",,"3,344","18,01,914",,"2,70,795","15,31,119",,"39,22,875",,"1,626","39,21,249",,"13,71,260","12,254","10,56,999",,"3,53,829",
03-Dec-10,"60,79,825",,"8,67,584","6,76,735","45,31,247",,"4,259","18,25,040",,"2,56,018","15,69,022",,"38,75,604",,"1,626","38,73,978",,"13,71,330","12,254","10,04,402",,"3,52,136",
19-Nov-10,"60,90,575",,"8,71,767","7,10,743","45,04,529",,"3,536","18,20,862",,"2,59,513","15,61,349",,"38,37,977",,"1,572","38,36,405",,"13,79,324","12,254","9,59,842",,"3,61,891",
05-Nov-10,"60,40,450",,"8,64,938","6,62,591","45,08,666",,"4,255","18,36,122",,"2,63,241","15,72,881",,"38,04,380",,"1,572","38,02,807",,"13,63,355","12,152","9,75,560",,"3,48,080",
22-Oct-10,"60,80,476",,"8,40,741","7,29,696","45,06,068",,"3,972","17,94,259",,"2,05,651","15,88,609",,"37,53,211",,"1,477","37,51,733",,"13,46,832","12,152","8,25,979",,"3,33,221",
08-Oct-10,"59,90,407",,"8,33,857","6,75,868","44,76,062",,"4,619","17,56,123",,"1,94,702","15,61,421",,"37,44,819",,"1,325","37,43,493",,"13,46,492","12,000","8,69,027",,"3,29,304",
24-Sep-10,"58,99,266",,"8,26,070","6,89,731","43,79,435",,"4,030","17,64,773",,"2,06,761","15,58,012",,"36,96,238",,"1,325","36,94,913",,"13,63,398","12,000","9,37,143",,"3,47,967",
10-Sep-10,"58,89,804",,"8,34,672","6,63,508","43,87,773",,"3,850","17,84,812",,"2,42,093","15,42,720",,"36,50,668",,"1,325","36,49,342",,"13,36,462","11,886","8,94,025",,"3,41,776",
27-Aug-10,"58,54,453",,"8,23,257","6,77,624","43,49,591",,"3,980","17,68,391",,"2,07,611","15,60,780",,"36,20,915",,"1,325","36,19,590",,"13,35,248","11,886","8,81,988",,"3,39,324",
13-Aug-10,"58,19,240",,"8,26,742","6,63,689","43,24,610",,"4,199","17,43,753",,"2,09,123","15,34,630",,"36,29,669",,"1,325","36,28,344",,"13,27,786","11,761","8,93,729",,"3,33,063",
30-Jul-10,"58,42,383",,"8,14,428","6,93,785","43,29,729",,"4,441","17,57,420",,"2,22,635","15,34,785",,"36,41,699",,"1,325","36,40,374",,"13,33,810","11,761","9,02,308",,"3,58,909",
16-Jul-10,"57,86,017",,"8,28,721","6,58,705","42,95,046",,"3,546","17,46,858",,"2,26,719","15,20,139",,"36,22,135",,"1,575","36,20,560",,"13,32,301","11,625","9,26,902",,"3,59,857",
02-Jul-10,"58,16,067",,"8,20,498","6,96,931","42,94,966",,"3,671","17,33,791",,"2,23,244","15,10,547",,"36,65,925",,"1,575","36,64,350",,"13,12,666","11,625","9,07,939",,"3,40,915",
18-Jun-10,"57,10,580",,"8,31,948","6,51,623","42,23,930",,"3,078","17,20,210",,"2,27,382","14,92,828",,"35,73,276",,"1,478","35,71,798",,"12,88,438","11,625","8,82,968",,"3,18,134",
04-Jun-10,"57,21,745",,"8,26,160","6,54,386","42,37,588",,"3,612","17,28,897",,"2,13,813","15,15,083",,"35,46,589",,"1,328","35,45,261",,"12,86,884","11,508","8,52,132",,"3,07,922",
21-May-10,"57,02,914",,"8,24,764","6,45,218","42,29,139",,"3,793","17,34,051",,"2,12,485","15,21,566",,"34,87,695",,"1,328","34,86,367",,"13,00,407","11,508","8,30,748",,"3,16,840",
07-May-10,"56,96,498",,"8,14,584","6,48,467","42,29,779",,"3,667","17,18,375",,"2,14,461","15,03,914",,"34,79,565",,"1,328","34,78,237",,"12,79,230","11,401","7,92,073",,"2,96,486",
23-Apr-10,"56,49,336",,"7,98,410","6,53,695","41,93,640",,"3,592","17,02,889",,"1,89,716","15,13,174",,"34,62,882",,"1,328","34,61,554",,"12,68,133","11,401","7,95,968",,"2,93,601",
09-Apr-10,"56,66,577",,"7,86,147","6,71,830","42,04,471",,"4,130","16,70,172",,"1,31,527","15,38,645",,"34,91,341",,"1,328","34,90,013",,"12,65,660","11,270","7,71,866",,"2,87,978",
31-Mar-10,"56,02,698",,"7,67,492","7,17,970","41,13,430",,"3,806","16,69,186",,"2,11,586","14,57,600",,"34,91,409",,"1,328","34,90,081",,"12,81,464","11,270","8,50,630",,"3,01,643",
26-Mar-10,"56,01,962",,"7,71,215","7,13,902","41,11,291",,"5,554","16,29,166",,"1,70,892","14,58,274",,"34,94,478",,"4,522","34,89,956",,"12,79,467","11,270","8,12,418",,"3,11,123",
12-Mar-10,"55,16,803",,"7,72,930","6,35,624","41,04,725",,"3,522","16,22,814",,"1,62,603","14,60,211",,"33,81,924",,"5,775","33,76,149",,"12,87,481","11,168","7,86,584",,"3,23,726",
26-Feb-10,"54,57,273",,"7,55,510","6,37,207","40,60,891",,"3,664","16,04,186",,"1,51,876","14,52,310",,"33,43,357",,"4,713","33,38,644",,"13,01,271","11,168","8,02,708",,"3,39,727",
12-Feb-10,"53,96,497",,"7,57,423","6,11,745","40,23,831",,"3,498","15,82,208",,"1,17,441","14,64,767",,"33,00,305",,"4,906","32,95,399",,"13,11,273","11,054","8,08,342",,"3,48,807",
29-Jan-10,"53,68,861",,"7,42,218","6,27,112","39,95,238",,"4,292","15,62,271",,"90,212","14,72,059",,"32,76,903",,"5,468","32,71,435",,"13,16,703","11,054","7,98,071",,"3,54,703",
15-Jan-10,"53,18,422",,"7,48,784","6,02,341","39,63,528",,"3,770","15,42,506",,"91,433","14,51,073",,"32,52,026",,"5,041","32,46,985",,"13,18,199","10,919","8,05,227",,"3,56,950",
01-Jan-10,"53,23,037",,"7,29,649","6,33,682","39,55,994",,"3,713","15,32,114",,"45,554","14,86,560",,"32,69,066",,"6,335","32,62,732",,"13,36,151","10,919","8,25,212",,"3,75,050",
18-Dec-09,"52,45,313",,"7,38,246","5,87,754","39,14,358",,"4,956","15,05,451",,"86,910","14,18,541",,"31,82,891",,"4,718","31,78,173",,"13,41,462","10,919","7,95,410",,"3,84,013",
04-Dec-09,"52,55,972",,"7,30,412","5,89,233","39,32,667",,"3,659","15,24,959",,"72,122","14,52,837",,"31,60,417",,"4,994","31,55,423",,"13,48,048","10,828","7,88,279",,"3,82,099",
20-Nov-09,"52,30,693",,"7,23,712","5,80,970","39,21,226",,"4,784","15,01,107",,"72,328","14,28,778",,"31,37,660",,"5,396","31,32,264",,"13,51,836","10,828","7,70,738",,"3,88,510",
06-Nov-09,"52,02,072",,"7,15,425","5,87,202","38,94,618",,"4,827","14,84,155",,"51,209","14,32,946",,"31,30,196",,"5,041","31,25,155",,"13,58,497","10,731","7,81,507",,"3,93,813",
23-Oct-09,"51,82,850",,"7,12,950","5,95,485","38,70,443",,"3,973","14,64,062",,"43,722","14,20,340",,"31,07,136",,"6,491","31,00,645",,"13,45,853","10,731","7,44,932",,"3,87,588",
09-Oct-09,"51,73,811",,"7,01,305","5,91,232","38,76,875",,"4,399","14,33,957",,"5,365","14,28,592",,"31,26,589",,"7,982","31,18,607",,"13,31,358","10,610","7,28,702",,"3,70,812",
25-Sep-09,"51,20,535",,"6,93,160","6,14,097","38,09,241",,"4,038","14,69,852",,"35,482","14,34,370",,"31,14,798",,"10,807","31,03,991",,"13,62,163","10,610","8,36,888",,"4,05,126",
11-Sep-09,"50,92,814",,"6,90,279","5,84,046","38,03,530",,"14,960","14,50,282",,"41,861","14,08,421",,"30,61,701",,"9,726","30,51,975",,"13,83,518","10,504","8,13,191",,"4,22,900",
28-Aug-09,"50,65,663",,"6,79,129","5,95,583","37,85,546",,"5,405","14,36,723",,"10,151","14,26,572",,"30,45,016",,"10,176","30,34,840",,"13,71,845","10,504","7,98,426",,"4,15,711",
14-Aug-09,"50,47,413",,"6,86,027","5,90,491","37,66,132",,"4,763","14,08,555",,"6,410","14,02,145",,"30,41,267",,"10,359","30,30,908",,"13,53,721","10,416","7,66,547",,"3,97,582",
31-Jul-09,"50,48,698",,"6,75,963","5,86,145","37,82,374",,"4,216","14,22,300",,"27,846","13,94,454",,"30,43,087",,"11,656","30,31,431",,"13,53,848","10,416","7,80,954",,"4,21,918",
17-Jul-09,"49,91,972",,"6,86,018","5,51,731","37,50,201",,"4,021","14,17,262",,"41,940","13,75,322",,"30,09,952",,"11,933","29,98,019",,"13,41,267","10,308","7,86,818",,"4,10,102",
03-Jul-09,"50,12,658",,"6,83,556","5,67,815","37,56,959",,"4,328","14,17,528",,"24,502","13,93,026",,"30,32,956",,"12,229","30,20,727",,"13,15,204","10,308","7,63,338",,"3,84,611",
19-Jun-09,"49,58,565",,"6,90,362","5,47,777","37,10,844",,"9,581","13,98,149",,"50,435","13,47,714",,"30,07,661",,"12,745","29,94,917",,"13,14,255","10,308","7,71,809",,"3,89,620",
05-Jun-09,"49,63,785",,"6,94,819","5,45,230","37,16,482",,"7,254","13,88,300",,"60,134","13,28,167",,"29,96,425",,"12,641","29,83,785",,"12,97,368","10,212","7,28,520",,"3,51,035",
22-May-09,"49,51,720",,"6,94,870","5,65,360","36,86,803",,"4,687","13,66,652",,"57,275","13,09,378",,"29,72,511",,"12,995","29,59,516",,"13,00,108","10,212","6,97,762",,"3,53,138",
08-May-09,"49,39,276",,"6,96,806","5,52,498","36,83,150",,"6,822","13,62,831",,"42,490","13,20,341",,"29,89,998",,"12,779","29,77,220",,"13,28,721","10,121","7,52,395",,"3,81,927",
